# meta: {"smoothing_window": 3, "stride": 1, "run_type": "manual"}
time,song_bpm,walking_bpm,step_event,instant_bpm
00:00:00.000,0,100.0,True,0.0
00:00:00.493,0,121.7,True,121.7
00:00:01.014,0,118.34,True,115.16
00:00:01.491,0,120.89,True,126.32
00:00:01.548,115.2325,115.2325,False,
00:00:01.552,115.2325,100.0,False,
00:00:01.654,100.0,100.0,False,
00:00:01.754,100.0,100.0,False,
00:00:01.854,100.0,100.0,False,
00:00:01.955,100.0,100.0,False,
00:00:02.056,100.0,100.0,False,
00:00:02.065,100.0,114.58,True,104.35
00:00:02.156,100.0,100.0,False,
00:00:02.258,100.0,100.0,False,
00:00:02.358,100.0,100.0,False,
00:00:02.458,100.0,100.0,False,
00:00:02.559,100.0,100.0,False,
00:00:02.660,100.0,100.0,False,
00:00:02.752,100.0,103.69,True,87.46
00:00:02.761,100.0,100.0,False,
00:00:02.862,100.0,100.0,False,
00:00:02.962,100.0,100.0,False,
00:00:03.063,100.0,100.0,False,
00:00:03.164,100.0,100.0,False,
00:00:03.264,100.0,100.0,False,
00:00:03.365,100.0,100.0,False,
00:00:03.436,100.0,92.74,True,88.24
00:00:03.466,100.0,100.0,False,
00:00:03.567,100.0,100.0,False,
00:00:03.667,100.0,100.0,False,
00:00:03.768,100.0,100.0,False,
00:00:03.869,100.0,100.0,False,
00:00:03.970,100.0,100.0,False,
00:00:04.048,100.0,90.96,True,97.88
00:00:04.071,100.0,100.0,False,
00:00:04.171,100.0,100.0,False,
00:00:04.272,100.0,100.0,False,
00:00:04.373,100.0,100.0,False,
00:00:04.473,100.0,100.0,False,
00:00:04.574,100.0,100.0,False,
00:00:04.651,100.0,94.69,True,98.68
00:00:04.674,100.0,100.0,False,
00:00:04.775,100.0,100.0,False,
00:00:04.876,100.0,100.0,False,
00:00:04.976,100.0,100.0,False,
00:00:05.077,100.0,100.0,False,
00:00:05.178,101.0,101.0,False,
00:00:05.218,101.0,100.73,True,106.01
00:00:05.278,101.0,101.0,False,
00:00:05.379,102.0,102.0,False,
00:00:05.481,102.0,102.0,False,
00:00:05.582,103.0,103.0,False,
00:00:05.683,103.0,103.0,False,
00:00:05.784,103.0,103.0,False,
00:00:05.788,103.0,103.33,True,105.63
00:00:05.885,104.0,104.0,False,
00:00:05.985,104.0,104.0,False,
00:00:06.086,104.0,104.0,False,
00:00:06.187,105.0,105.0,False,
00:00:06.288,105.0,105.0,False,
00:00:06.300,105.0,109.42,True,117.42
00:00:06.388,106.0,106.0,False,
00:00:06.490,106.0,106.0,False,
00:00:06.590,107.0,107.0,False,
00:00:06.691,107.0,107.0,False,
00:00:06.792,108.0,108.0,False,
00:00:06.825,108.0,112.08,True,113.85
00:00:06.892,108.0,108.0,False,
00:00:06.993,109.0,109.0,False,
00:00:07.094,110.0,110.0,False,
00:00:07.195,110.0,110.0,False,
00:00:07.296,111.0,111.0,False,
00:00:07.309,111.0,118.11,True,123.46
00:00:07.396,112.0,112.0,False,
00:00:07.496,114.0,114.0,False,
00:00:07.596,116.0,116.0,False,
