time,song_bpm,walking_bpm
00:00:00.773,78.07094000972869,0
00:00:00.803,75.3259848628612,0
00:00:01.068,56.398742751491724,0
00:00:01.094,55.11005335196772,0
00:00:01.127,53.41493994438576,0
00:00:01.145,52.613429292291535,0
00:00:01.183,50.90382738129673,0
00:00:01.382,43.597001234327294,0
00:00:01.404,42.9224443348322,0
00:00:01.912,31.47828782233543,0
00:00:01.936,31.06738049141024,0
00:00:01.969,30.551993869648445,0
00:00:02.313,25.990250334769076,0
00:00:02.333,25.76457468036951,0
00:00:03.047,19.720794354074034,0
00:00:03.087,19.459822600894697,0
00:00:03.146,19.09448299425075,0
00:00:03.172,18.947173936890547,0
00:00:03.234,18.58313359487939,0
00:00:03.732,16.098879000718718,0
00:00:03.756,15.991459639169754,0
00:00:05.005,11.996908031086539,0
00:00:05.047,11.898285260996524,0
00:00:05.062,11.861778721179508,0
00:00:05.897,10.18223108542064,0
00:00:05.946,10.099551063267512,0
00:00:07.826,7.671290201396095,0
00:00:07.883,7.615670961009919,0
00:00:07.933,7.568708707489438,0
00:00:08.023,7.484265490160216,0
00:00:08.191,7.330043654929913,0
00:00:09.315,6.444365652678783,0
00:00:09.445,6.355628623318935,0
00:00:12.539,6.355628623318935,0.0
00:00:12.606,6.355628623318935,131.87
00:00:12.624,131.87,132.01
00:00:12.696,132.01,131.96
00:00:12.703,131.96,133.23
00:00:12.853,133.23,137.09
00:00:12.863,137.09,138.46
00:00:13.239,138.46,139.86
00:00:13.552,139.86,148.64
00:00:13.964,148.64,153.06
00:00:14.396,139.02610334717932,153.06
00:00:14.424,139.02610334717932,149.25
00:00:14.832,149.25,139.75
00:00:15.334,139.75,138.46
00:00:15.648,138.46,147.18
00:00:16.007,147.18,151.9
00:00:16.409,151.9,155.17
00:00:16.800,153.5609161974766,155.17
00:00:16.850,136.15203082513057,155.17
00:00:16.874,129.4919286950687,155.17
00:00:16.947,111.64530916508546,155.17
00:00:16.973,106.80822980015441,155.17
00:00:17.043,95.00115137700915,155.17
00:00:17.061,92.12834212852883,155.17
00:00:17.086,88.73584909652128,155.17
00:00:17.104,86.61288457408438,155.17
00:00:17.118,84.63120130670467,155.17
00:00:17.151,81.0129816114762,155.17
00:00:17.168,79.05405876604314,155.17
00:00:17.274,69.41407775666784,155.17
00:00:17.291,68.09196673681727,155.17
00:00:17.339,64.53091420631112,155.17
00:00:17.365,62.85282281479017,155.17
00:00:17.474,56.41860629867949,155.17
00:00:17.507,54.680259692853234,155.17
00:00:17.653,48.25730763146162,155.17
00:00:17.674,47.487641635061166,155.17
00:00:17.850,41.68121251670755,155.17
00:00:17.875,40.965093966762794,155.17
00:00:17.900,40.254491551952185,155.17
00:00:18.098,35.550030597593896,155.17
00:00:18.114,35.2277304061702,155.17
00:00:18.353,30.876849268243248,155.17
00:00:18.369,30.624552481207253,155.17
00:00:18.550,28.037244362793295,155.17
00:00:18.574,27.73592341895534,155.17
00:00:18.877,24.313560754859896,155.17
00:00:18.919,23.90844538536036,155.17
00:00:18.970,23.439681331363836,155.17
00:00:19.020,22.979681841587013,155.17
00:00:19.047,22.751214819944472,155.17
00:00:19.081,22.46327822802538,155.17
00:00:19.114,22.190098505292514,155.17
00:00:19.778,17.815852906826883,155.17
00:00:19.794,17.73315106332004,155.17
00:00:20.640,14.181799247073398,155.17
00:00:20.689,14.0193195663462,155.17
00:00:20.739,13.862427199852197,155.17
00:00:21.804,11.125294297833452,155.17
00:00:21.828,11.07381706001962,155.17
00:00:23.018,9.081929457606245,155.17
