type,time_ms,foot,fsr_peak,contact_ms,cadence_spm
STEP,2848831,1,1583,230,0.15
STEP,2849301,2,386,100,0.15
STEP,2849641,1,1618,200,0.15
STEP,2850071,2,406,170,0.15
STEP,2850436,1,1591,200,0.15
STEP,2850836,2,578,180,0.15
STEP,2851256,1,1675,220,0.15
STEP,2851651,2,671,185,148.94
STEP,2852066,1,2028,925,151.9
STEP,2852971,2,1072,1035,126.13
STEP,2853996,1,2127,715,107.01
STEP,2854676,2,1021,770,99.06
STEP,2855431,1,1970,945,91.4
STEP,2856336,2,974,855,82.68
STEP,2857216,1,1555,745,75.47
STEP,2857901,2,957,825,71.98
STEP,2858636,1,2139,985,74.14
STEP,2859516,2,816,610,76.09
