type,time_ms,foot,fsr_value
STEP,3727051,2,302
STEP,3727516,1,354
STEP,3728501,1,320
STEP,3730031,1,338
STEP,3730611,2,304
STEP,3731141,1,351
STEP,3731731,2,303
STEP,3732186,1,460
STEP,3733081,1,323
STEP,3733941,1,615
STEP,3734486,2,303
STEP,3734891,1,315
STEP,3735641,1,586
STEP,3737651,2,308
STEP,3738431,2,303
STEP,3739076,2,318
STEP,3739361,2,304
STEP,3740181,1,420
STEP,3740391,1,400
STEP,3740636,1,383
STEP,3740806,1,610
